Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,Kondoa_phyllada,7,0.020
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_kongii,7,0.020
Fungi,Basidiomycota,Tremellomycetes,Tremellales,unidentified,unidentified,Tremellales_sp,7,0.020
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp,7,0.020
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_evansii,7,0.020
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_myriocarpa,7,0.020
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_sulphurella,7,0.020
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria_mors-panacis,7,0.020
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,,,7,0.020
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,,7,0.020
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_mirabilis,7,0.020
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_elongata,7,0.020
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_flava,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Thelonectria_rubi,6,0.017
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella_tricincta,6,0.017
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_sphaerospermum,6,0.017
Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,,,6,0.017
Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Neocatapyrenium,Neocatapyrenium_rhizinosum,6,0.017
